React1     React2    React3       Prod1      Prod2      Prod3      Prod4      Prod5       A          B          C          errA     errB     errC ty  Tmin   Tmax  fr   num n  n !comment 
HCCNC      C+                     CCN        C2H+                                          2.000e-01  1.870e-09  4.170e+00 2.00e+00 0.00e+00 logn  4     10    800  4  2381 1  1 
HNCCC      C+                     CH         C3N+                                          2.500e-01  2.040e-09  7.290e+00 2.00e+00 0.00e+00 logn  4     10    800  4  2386 1  1 
CH2PH      HCO+                   CO         PCH4+                                         1.000e+00  1.360e-09  1.260e+00 2.00e+00 0.00e+00 logn  4     10    119  4  2493 1  1 
CH2PH      HCO+                   CO         PCH4+                                         1.000e+00  1.360e-09  1.260e+00 2.00e+00 0.00e+00 logn  4    119    800  5  2493 2  1 
H2         HCP+                   H          PCH2+                                         1.000e-09  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  2550 1  1 
OH         HNC+                   CN         H2O+                                          1.000e+00  7.520e-10  5.500e+00 2.00e+00 0.00e+00 logn  4     10    800  4  2561 1  1 
CO         HNSi+                  SiN        HCO+                                          1.000e+00  7.930e-10  2.510e-01 2.00e+00 0.00e+00 logn  4     10    800  5  2589 1  1 
H2O        HNSi+                  SiN        H3O+                                          1.000e+00  7.790e-10  5.410e+00 2.00e+00 0.00e+00 logn  4     10    800  4  2591 1  1 
H2O        P+                     H          HPO+                                          5.000e-01  8.220e-10  5.410e+00 2.00e+00 0.00e+00 logn  4     10    800  4  2716 1  1 
P          H3O+                   H2         HPO+                                          1.000e-09  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  2741 1  1 
S2         H3O+                   H2O        HS2+                                          2.000e-09  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  2747 1  1 
SiO        H3O+                   H2O        HSiO+                                         1.000e+00  1.350e-09  5.100e+00 2.00e+00 0.00e+00 logn  4     10    800  4  2750 1  1 
CCO        H3O+                   H2O        C2HO+                                         3.320e-09 -5.000e-01  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  2753 1  1 
HNSi       H3O+                   H2O        HSiNH+                                        1.000e+00  1.520e-09  3.770e-01 2.00e+00 0.00e+00 logn  4     10     11  4  2761 1  1 
HNSi       H3O+                   H2O        HSiNH+                                        1.000e+00  1.520e-09  3.770e-01 2.00e+00 0.00e+00 logn  4     11    800  5  2761 2  1 
CH2PH      H3O+                   H2O        PCH4+                                         1.000e+00  1.570e-09  1.260e+00 2.00e+00 0.00e+00 logn  4     10    119  4  2787 1  1 
CH2PH      H3O+                   H2O        PCH4+                                         1.000e+00  1.570e-09  1.260e+00 2.00e+00 0.00e+00 logn  4    119    800  5  2787 2  1 
C          SiC2H+                 H          l-SiC3+                                       3.000e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  2838 1  1 
CH4        S+                     H          H3CS+                                         1.400e-10  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  4     10    300  3  2962 1  1 
C4H2       S+                     CS         l-C3H2+                                       1.200e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  2964 1  1 
C4H2       S+                     HS         C4H+                                          1.600e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  2965 1  1 
NH         Si+                    H          SiN+                                          1.000e+00  9.010e-10  4.400e+00 2.00e+00 0.00e+00 logn  4     10    800  4  2968 1  1 
H2O        Si+                    H          HSiO+                                         1.000e+00  8.370e-10  5.410e+00 2.00e+00 0.00e+00 logn  4     10    800  4  2972 1  1 
HCN        Si+                    H          SiNC+                                         1.000e+00  1.000e-09  6.610e+00 2.00e+00 0.00e+00 logn  4     10    800  4  2973 1  1 
c-C3H      Si+                    H          l-SiC3+                                       1.000e+00  1.290e-09  4.130e+00 2.00e+00 0.00e+00 logn  4     10    800  4  2977 1  1 
