R1	R2	R3	P1	P2	P3	P4	P5	Number	Reaction_enthalpy
HC3S+	C3N-		H	C3N	C3S			4060	14.799603312644544
HC4S+	C6-		H	C4S	C6			4149	20.9570051465494
HC4S+	C8-		H	C4S	C8			4153	41.46673007910541
HC4S+	C10-		H	C4S	C10			4157	56.42045025277251
HC4S+	C10H-		H	C4S	C10H			4158	15.57879926166299
HC4S+	C3N-		H	C3N	C4S			4159	38.71139889396354
C10H2+	CN-		H	CN	C10H			4244	57.38078471210031
C10H2+	C4H-		H	C4H	C10H			4246	29.030628301347093
C10H2+	C6-		H	C6	C10H			4249	83.48975114012552
C10H2+	C6H-		H	C6H	C10H			4250	50.94087380533944
C10H2+	C8-		H	C8	C10H			4253	103.99947607238305
C10H2+	C8H-		H	C8H	C10H			4254	66.52195725219754
C10H2+	C9-		H	C9	C10H			4255	42.08600681093669
C10H2+	C10-		H	C10	C10H			4257	118.95319624605015
C10H2+	C10H-		H	C10H	C10H			4258	78.11154525523912
C10H2+	C3N-		H	C3N	C10H			4259	101.24414488724118
C5H5+	S-		H	S	H2	C5H2		4263	37.14749895832617
C5H5+	CN-		H	CN	H2	C5H2		4264	219.4970259750202
C5H5+	OH-		H	H2	OH	C5H2		4265	17.21586716195565
C5H5+	C4H-		H	H2	C4H	C5H2		4266	191.14686956441622
C5H5+	C5-		H	H2	C5	C5H2		4267	120.8950479628358
C5H5+	C5H-		H	H2	C5H	C5H2		4268	81.61982290107723
C5H5+	C6-		H	H2	C6	C5H2		4269	245.60599240274692
C5H5+	C6H-		H	H2	C5H2	C6H		4270	213.05711506825932
C5H5+	C7-		H	H2	C5H2	C7		4271	170.87656399533844
C5H5+	C7H-		H	H2	C5H2	C7H		4272	121.27616557183684
C5H5+	C8-		H	H2	C5H2	C8		4273	266.1157173353029
C5H5+	C8H-		H	H2	C5H2	C8H		4274	228.63819851526665
C5H5+	C9-		H	H2	C5H2	C9		4275	204.2022480740058
C5H5+	C9H-		H	H2	C5H2	C9H		4276	148.89716281599004
C5H5+	C10-		H	H2	C5H2	C10		4277	281.06943750911927
C5H5+	C10H-		H	H2	C5H2	C10H		4278	240.22778651800976
C5H5+	C3N-		H	H2	C3N	C5H2		4279	263.3603861503103
C7H5+	S-		H	S	H2	C7H2		4323	53.56939884412617
C7H5+	CN-		H	CN	H2	C7H2		4324	235.9189258608202
C7H5+	OH-		H	H2	OH	C7H2		4325	33.63776704775565
C7H5+	C4H-		H	H2	C4H	C7H2		4326	207.56876945021622
C7H5+	C5-		H	H2	C5	C7H2		4327	137.31694784878505
C7H5+	C5H-		H	H2	C5H	C7H2		4328	98.04172278687723
C7H5+	C6-		H	H2	C6	C7H2		4329	262.0278922886962
C7H5+	C6H-		H	H2	C6H	C7H2		4330	229.47901495420857
C7H5+	C7-		H	H2	C7	C7H2		4331	187.2984638809892
C7H5+	C7H-		H	H2	C7H	C7H2		4332	137.69806545763686
C7H5+	C8-		H	H2	C8	C7H2		4333	282.5376172209537
C7H5+	C8H-		H	H2	C7H2	C8H		4334	245.06009840076817
C7H5+	C9-		H	H2	C7H2	C9		4335	220.62414795950733
C7H5+	C9H-		H	H2	C7H2	C9H		4336	165.31906270179005
C7H5+	C10-		H	H2	C7H2	C10		4337	297.4913373949193
C7H5+	C10H-		H	H2	C7H2	C10H		4338	256.64968640380977
C7H5+	C3N-		H	H2	C3N	C7H2		4339	279.7822860361103
C9H4+	C-		C	H2	C9H2			4380	1295.5761337209078
C9H4+	H-		H	H2	C9H2			4381	1248.269476032104
C9H4+	O-		O	H2	C9H2			4382	1306.836250329281
C9H4+	S-		S	H2	C9H2			4383	1366.1894551941625
C9H4+	CN-		CN	H2	C9H2			4384	1548.5389822107074
C9H4+	OH-		H2	OH	C9H2			4385	1346.257823397792
C9H4+	C4H-		H2	C4H	C9H2			4386	1520.1888257999542
C9H4+	C5-		H2	C5	C9H2			4387	1449.9370041986722
C9H4+	C5H-		H2	C5H	C9H2			4388	1410.6617791369135
C9H4+	C6-		H2	C6	C9H2			4389	1574.6479486387325
C9H4+	C6H-		H2	C6H	C9H2			4390	1542.099071304245
C9H4+	C7-		H2	C7	C9H2			4391	1499.918520231324
C9H4+	C7H-		H2	C7H	C9H2			4392	1450.3181218076734
C9H4+	C8-		H2	C8	C9H2			4393	1595.1576735712886
C9H4+	C8H-		H2	C8H	C9H2			4394	1557.6801547514015
C9H4+	C9-		H2	C9	C9H2			4395	1533.2442043098422
C9H4+	C9H-		H2	C9H	C9H2			4396	1477.939119051528
C9H4+	C10-		H2	C10	C9H2			4397	1610.1113937452542
C9H4+	C10H-		H2	C10H	C9H2			4398	1569.2697427541448
C9H4+	C3N-		H2	C3N	C9H2			4399	1592.4023423858482
C+	C10H2		CH2	C10+				4423	216.97490195724376
C	C10H2		C5H	C6H				4437	96.44727725694403
C	C10H2		CCH	C9H				4439	84.77595743276042
C	C10H2		c-C3H	C8H				4440	105.7278165987159
C	C10H2		C8H	l-C3H				4441	113.86253514342825
C	C10H2		C4H	C7H				4442	97.64174857279866
O	C2H2		OH	CCH				4499	130.1706090939708
O	C2H4		OH	C2H3				4501	35.6168294537206
OH	C2H2		CCH	H2O				4512	62.78007598877612
H2O	C2H2+		CCH	H3O+				4527	85.77740985069929
