R1	R2	R3	P1	P2	P3	P4	P5	A	B	C	D	E	Distr	Type	T_min	T_max	Formula	Number	n3	n4	comment	enthalpy	C_kjmol	enthalpy-C_kjmol
HCN	Si+		H	SiNC+				1.0	1e-09	6.61	2.0	0.0	logn	4	10.0	800.0	4	2973	1	1		63.106050217299064	0.0549582501	63.05109196719906
c-C3H	Si+		H	l-SiC3+				1.0	1.29e-09	4.13	2.0	0.0	logn	4	10.0	800.0	4	2977	1	1		213.03263989307246	0.0343385133	212.99830137977244
l-C3H	Si+		H	l-SiC3+				1.0	1.36e-09	5.3	2.0	0.0	logn	4	10.0	800.0	4	2978	1	1		204.89792134836011	0.044066373	204.85385497536012
CH3	Si+		H	CH2Si+				1e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2980	1	1		149.25001927840776	0.0	149.25001927840776
NH3	Si+		H	HSiNH+				1.0	1.04e-09	3.65	2.0	0.0	logn	4	10.0	800.0	4	2981	1	1		130.47311397591506	0.030347596499999997	130.44276637941505
C4H	Si+		H	SiC4+				1.0	1.48e-09	1.13	2.0	0.0	logn	4	10.0	95.0	4	2985	1	1		69.0488436648963	0.009395283299999998	69.0394483815963
C4H	Si+		H	SiC4+				1.0	1.48e-09	1.13	2.0	0.0	logn	4	95.0	800.0	5	2985	2	1		69.0488436648963	0.009395283299999998	69.0394483815963
C4H2	Si+		SiH	C4H+				1.6e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2988	1	1		441.6624050389666	0.0	441.6624050389666
H2	C2+		CCH	H+				1.5e-09	0.0	1260.0	2.0	0.0	logn	4	10.0	800.0	3	2999	1	1		152.62446940276385	10.4761566	142.14831280276385
C	CH+		C2	H+				6e-11	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3022	1	2		46.3976216178867	0.0	46.3976216178867
OCS	CH+		C	HOCS+				0.449	1.63e-09	1.09	2.0	0.0	logn	4	10.0	90.0	4	3058	1	1		16.572892402389403	0.0090627069	16.563829695489403
OCS	CH+		C	HOCS+				0.449	1.63e-09	1.09	2.0	0.0	logn	4	90.0	800.0	5	3058	2	1		16.572892402389403	0.0090627069	16.563829695489403
Si	C3H+		H	l-SiC3+				2e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3173	1	1		117.95348453521437	0.0	117.95348453521437
NO	C3H+		l-C3H	NO+				0.25	7.48e-10	0.411	2.0	0.0	logn	4	10.0	13.0	4	3175	1	1		19.061131452080566	0.0034172225099999994	19.057714229570568
NO	C3H+		l-C3H	NO+				0.25	7.48e-10	0.411	2.0	0.0	logn	4	13.0	800.0	5	3175	2	1		19.061131452080566	0.0034172225099999994	19.057714229570568
OCS	C3H+		H	C3O	CS+			0.333	1.11e-09	1.09	2.0	0.0	logn	4	10.0	90.0	4	3187	1	1		464.231388543207	0.0090627069	464.222325836307
OCS	C3H+		H	C3O	CS+			0.333	1.11e-09	1.09	2.0	0.0	logn	4	90.0	800.0	5	3187	2	1		464.231388543207	0.0090627069	464.222325836307
C2H2	C3H+		H	C5H2+				3e-10	0.0	0.0	1.5	0.0	logn	4	10.0	300.0	3	3190	1	1		82.46479786986416	0.0	82.46479786986416
NH3	C3H+		l-C3H	NH3+				0.167	9.93e-10	3.65	2.0	0.0	logn	4	10.0	800.0	4	3192	1	1		104.17613022771859	0.030347596499999997	104.1457826312186
C4H2	C3H+		CCH	C5H2+				1e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3200	1	1		200.47615893131376	0.0	200.47615893131376
C2H3	CH3+		H	H2	l-C3H3+			9.5e-11	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3247	1	1		15.610389542700744	0.0	15.610389542700744
C2H4	CH3+		H2	H2	l-C3H3+			2.3e-11	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3263	1	1		39.318428192717064	0.0	39.318428192717064
H2	SO2+		H	HSO2+				5e-12	0.0	0.0	1.25	0.0	logn	4	10.0	300.0	3	3361	1	1		113.50370251758577	0.0	113.50370251758577
H	C10H-		CCH	C8H-				1e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3492	1	1		140.94661759669384	0.0	140.94661759669384
C	C10H-		C6	C5H-				1e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3493	1	1		191.20210457495682	0.0	191.20210457495682
C	C10H2+		C9H	C2H+				1e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3568	1	1		356.3221488480002	0.0	356.3221488480002
N	C10H2+		C9H	HNC+				2e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3569	1	1		269.8848273987115	0.0	269.8848273987115
C5H3+	C6-		H	C6	C5H2			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3709	1	1		33.638564937365096	0.0	33.638564937365096
C5H3+	C8-		H	C5H2	C8			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3713	1	1		54.14828987007034	0.0	54.14828987007034
C5H3+	C8H-		H	C5H2	C8H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3714	1	1		16.67077104988483	0.0	16.67077104988483
C5H3+	C10-		H	C5H2	C10			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3717	1	1		69.10201004373745	0.0	69.10201004373745
C5H3+	C10H-		H	C5H2	C10H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3718	1	1		28.260359052926415	0.0	28.260359052926415
C5H3+	C3N-		H	C3N	C5H2			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3719	1	1		51.39295868492848	0.0	51.39295868492848
C7H3+	CN-		H	CN	C7H2			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3744	1	1		53.39188851315587	0.0	53.39188851315587
C7H3+	C4H-		H	C4H	C7H2			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3746	1	1		25.041732102551894	0.0	25.041732102551894
C7H3+	C6-		H	C6	C7H2			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3749	1	1		79.5008549408826	0.0	79.5008549408826
C7H3+	C6H-		H	C6H	C7H2			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3750	1	1		46.95197760654425	0.0	46.95197760654425
C7H3+	C8-		H	C8	C7H2			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3753	1	1		100.01057987373709	0.0	100.01057987373709
C7H3+	C8H-		H	C7H2	C8H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3754	1	1		62.53306105355157	0.0	62.53306105355157
C7H3+	C9-		H	C7H2	C9			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3755	1	1		38.09711061229073	0.0	38.09711061229073
C7H3+	C10-		H	C7H2	C10			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3757	1	1		114.9643000474042	0.0	114.9643000474042
C7H3+	C10H-		H	C7H2	C10H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3758	1	1		74.12264905629468	0.0	74.12264905629468
C7H3+	C3N-		H	C3N	C7H2			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3759	1	1		97.25524868859523	0.0	97.25524868859523
C9H3+	CN-		H	CN	C9H2			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3784	1	1		87.81671199575504	0.0	87.81671199575504
C9H3+	C4H-		H	C4H	C9H2			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3786	1	1		59.466555585001835	0.0	59.466555585001835
C9H3+	C6-		H	C6	C9H2			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3789	1	1		113.92567842378027	0.0	113.92567842378027
C9H3+	C6H-		H	C6H	C9H2			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3790	1	1		81.37680108899418	0.0	81.37680108899418
C9H3+	C7-		H	C7	C9H2			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3791	1	1		39.1962500160733	0.0	39.1962500160733
C9H3+	C8-		H	C8	C9H2			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3793	1	1		134.4354033560378	0.0	134.4354033560378
