React1     React2    React3       Prod1      Prod2      Prod3      Prod4      Prod5       A          B          C          errA     errB     errC ty  Tmin   Tmax  fr   num n  n !comment 
C3O        CRP                    C2         CO                                            6.600e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1   101 1  1 
C3S        CRP                    C2         CS                                            1.500e+03  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  2  -9999   9999  1   103 1  1 
C4         CRP                    C2         C2                                            2.500e+02  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  2  -9999   9999  1   104 1  3 
C4         CRP                    C          C3                                            7.500e+02  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  2  -9999   9999  1   105 1  3 
CH3        CRP                    H          CH2                                           5.000e+02  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  2  -9999   9999  1   106 1  1 
CH3        CRP                    CH3+       e-                                            5.000e+02  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  2  -9999   9999  1   107 1  1 
H2CO       CRP                    CO         H2                                            2.660e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1   108 1  1 
H2CS       CRP                    CS         H2                                            1.500e+03  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  2  -9999   9999  1   109 1  1 
HOOH       CRP                    OH         OH                                            1.500e+03  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  2  -9999   9999  1   110 1  1 
HSSH       CRP                    HS         HS                                            1.500e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1   111 1  1 
NH3        CRP                    H2         NH                                            5.400e+02  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1   114 1  1 
NH3        CRP                    H          NH2                                           1.320e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1   115 1  1 
NH3        CRP                    NH3+       e-                                            5.750e+02  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1   116 1  1 
H2CCN      CRP                    CN         CH2                                           5.000e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1   121 1  1 
H2CCO      CRP                    CO         CH2                                           9.150e+02  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1   122 1  1 
H2CCO      CRP                    H2CCO+     e-                                            1.220e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1   123 1  1 
C2H3       CRP                    H          C2H2                                          1.500e+03  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  2  -9999   9999  1   124 1  1 
c-C3H2     CRP                    H          c-C3H                                         5.000e+03  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  2  -9999   9999  1   125 1  1 
l-C3H2     CRP                    H          l-C3H                                         5.000e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1   126 1  1 
C4H        CRP                    H          C4                                            5.000e+03  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  2  -9999   9999  1   127 1  1 
C4N        CRP                    CN         C3                                            1.000e+03  0.000e+00  0.000e+00 1.50e+00 0.00e+00 logn  2  -9999   9999  1   128 1  1 
