React1     React2    React3       Prod1      Prod2      Prod3      Prod4      Prod5       A          B          C          errA     errB     errC ty  Tmin   Tmax  fr   num n  n !comment 
SiC3H      Photon                 H          l-SiC3                                        1.000e-10  0.000e+00  2.300e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   533 1  1 
SiC4       Photon                 Si         C4                                            1.000e-10  0.000e+00  2.300e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   534 1  1 
SiCH3      Photon                 H          SiCH2                                         1.000e-10  0.000e+00  2.300e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   535 1  1 
SiH4       Photon                 H          H2         SiH                                1.600e-10  0.000e+00  2.200e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   536 1  1 
SiH4       Photon                 H2         SiH2                                          4.800e-10  0.000e+00  2.200e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   537 1  1 
SiH4       Photon                 H          SiH3                                          1.600e-10  0.000e+00  2.200e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   538 1  1 
SiC        C+                     C2         Si+                                           5.000e-01  2.020e-09  2.100e+00 2.00e+00 0.00e+00 logn  4     10    330  4   558 1  1 
SiC        C+                     C2         Si+                                           5.000e-01  2.020e-09  2.100e+00 2.00e+00 0.00e+00 logn  4    330    800  5   558 2  1 
SiH        C+                     H          SiC+                                          1.000e+00  1.890e-09  1.540e-01 2.00e+00 0.00e+00 logn  4     10    800  5   559 1  1 
SiN        C+                     N          SiC+                                          5.000e-01  1.570e-09  4.410e+00 2.00e+00 0.00e+00 logn  4     10    800  4   560 1  1 
SiO        C+                     CO         Si+                                           1.000e+00  1.610e-09  5.100e+00 2.00e+00 0.00e+00 logn  4     10    800  4   561 1  1 
SiS        C+                     S          SiC+                                          5.000e-01  2.020e-09  2.140e+00 2.00e+00 0.00e+00 logn  4     10    344  4   562 1  1 
SiS        C+                     S          SiC+                                          5.000e-01  2.020e-09  2.140e+00 2.00e+00 0.00e+00 logn  4    344    800  5   562 2  1 
HCSi       C+                     H          SiC2+                                         1.000e+00  1.990e-09  1.850e-01 2.00e+00 0.00e+00 logn  4     10    800  5   579 1  1 
HNSi       C+                     H          SiNC+                                         1.000e+00  1.810e-09  3.770e-01 2.00e+00 0.00e+00 logn  4     10     11  4   581 1  1 
HNSi       C+                     H          SiNC+                                         1.000e+00  1.810e-09  3.770e-01 2.00e+00 0.00e+00 logn  4     11    800  5   581 2  1 
SiH2       C+                     H2         SiC+                                          3.330e-01  1.830e-09  2.070e-01 2.00e+00 0.00e+00 logn  4     10    800  5   586 1  1 
SiH2       C+                     H          CHSi+                                         3.330e-01  1.830e-09  2.070e-01 2.00e+00 0.00e+00 logn  4     10    800  5   587 1  1 
HCCSi      C+                     H          l-SiC3+                                       5.000e-01  2.210e-09  1.110e+00 2.00e+00 0.00e+00 logn  4     10     94  4   607 1  1 
HCCSi      C+                     H          l-SiC3+                                       5.000e-01  2.210e-09  1.110e+00 2.00e+00 0.00e+00 logn  4     94    800  5   607 2  1 
SiCH2      C+                     H2         SiC2+                                         3.330e-01  2.030e-09  2.540e-01 2.00e+00 0.00e+00 logn  4     10    800  5   608 1  1 
SiCH2      C+                     H          SiC2H+                                        3.330e-01  2.030e-09  2.540e-01 2.00e+00 0.00e+00 logn  4     10    800  5   609 1  1 
SiH3       C+                     H          CH2Si+                                        3.330e-01  1.790e-09  7.710e-03 2.00e+00 0.00e+00 logn  4     10    800  5   610 1  1 
SiH3       C+                     H2         CHSi+                                         3.330e-01  1.790e-09  7.710e-03 2.00e+00 0.00e+00 logn  4     10    800  5   611 1  1 
O          HCSi                   CH         SiO                                           2.000e-11  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3   762 1  1 
O          c-SiC2                 CO         SiC                                           4.000e-11  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3   775 1  1 
O          SiH2                   H          H          SiO                                1.200e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3   776 1  1 
O          SiH2                   H2         SiO                                           8.000e-11  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3   777 1  1 
O          SiNC                   CO         SiN                                           1.000e-11  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3   778 1  1 
O          l-SiC3                 CO         c-SiC2                                        4.000e-11  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3   795 1  1 
O          SiH3                   H          H2SiO                                         1.400e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3   796 1  1 
O          SiC4                   CO         l-SiC3                                        4.000e-11  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3   804 1  1 
Si         O2                     O          SiO                                           1.720e-10 -5.300e-01  1.700e+01 2.00e+00 0.00e+00 logn  4     10    300  3   831 1  1 
Si         NO                     N          SiO                                           9.000e-11 -9.600e-01  2.800e+01 2.00e+00 0.00e+00 logn  4     10    300  3   832 1  1 
Si         OH                     H          SiO                                           1.000e-10  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  4     10    300  3   833 1  1 
